Columna 1,Edad,Género,Ingreso mensual,"¿Con qué frecuencia, compras tenis deportivos?",¿Para qué usas principalmente los tenis deportivos?,¿Qué factor es más importante al comprar tenis deportivos?,¿Cuánto estarías dispuesto a pagar?,Comodidad,Durabilidad,Diseño,Precio,¿Qué mejorarías de los tenis deportivos?,¿Comprarías tenis de una nueva marca?,,,,,,
4/7/2026 21:55:46,20,Masculino,"Más de $10,000",Cada 6 meses,Deporte,Comodidad,"$1,500-$3,000",4,5,4,3,Más comodidad ,Si,,,,,,
4/7/2026 21:56:14,22,Masculino,"Menos de $5,000",Una vez al año,Deporte,Comodidad,"$800-$1,500",5,5,4,4,"Adaptación a diferentes tipos de pies, como pie plano, ancho etc ",Si,,,,,,
4/7/2026 21:59:33,51,Masculino,"Más de $10,000",Una vez al año,Deporte,Comodidad,"$800-$1,500",5,5,5,5,Diceño ,Si,,,,,,
4/7/2026 22:02:17,29 años ,Femenino,"Más de $10,000",Una vez al año,"Deporte, Uso diario, Moda, Trabajo","Comodidad, Diseño","$1,500-$3,000",4,4,4,3,"Su durabilidad, los kilómetros de uso. 
Hay tenis muy cómodos pero que son de rápido desgaste. ",Si,,,,,,
4/7/2026 22:07:53,47,Femenino,"$5,000-$10,000",Una vez al año,"Deporte, Moda","Precio, Comodidad, Marca","$1,500-$3,000",4,5,4,4,La comodidad,Si,,,,,,
4/7/2026 22:11:04,21,Femenino,"$5,000-$10,000",Cada 3 meses,Uso diario,Diseño,"$800-$1,500",4,4,4,4,tal ves las comodidad ,No,,,,,,
4/7/2026 22:12:50,21,Femenino,"Menos de $5,000",Cada 6 meses,Uso diario,Comodidad,"$1,500-$3,000",5,4,5,3,Los precios ,Si,,,,,,
4/7/2026 22:15:57,71,Femenino,"Menos de $5,000",Una vez al año,Deporte,Comodidad,"$1,500-$3,000",5,5,5,5,El precio,No,,,,,,
4/7/2026 22:19:58,44 años ,Femenino,"Más de $10,000",Una vez al año,"Deporte, Moda","Comodidad, Diseño","$1,500-$3,000",5,4,5,4,El diseño ,Si,,,,,,
4/7/2026 22:21:12,43,Masculino,"$5,000-$10,000",Una vez al año,"Deporte, Uso diario","Comodidad, Diseño","$1,500-$3,000",4,4,4,4,Disponibilidad de diseños ,Si,,,,,,
4/7/2026 22:25:03,53,Masculino,"Más de $10,000",Una vez al año,Deporte,Comodidad,"$800-$1,500",4,4,5,4,Diseño y comodidad ,Si,,,,,,
4/7/2026 22:42:03,51,Femenino,"Más de $10,000",Cada 6 meses,Deporte,Comodidad,"$1,500-$3,000",5,4,4,4,Variedad de colores ,,,,,,,
4/7/2026 22:47:00,41,Masculino,"Más de $10,000",Una vez al año,Moda,Comodidad,"Más de $3,000",5,4,4,5,Variedad de colores ,Si,,,,,,
4/7/2026 23:54:44,30,Femenino,"Menos de $5,000",Cada 6 meses,Uso diario,Comodidad,"$800-$1,500",5,5,5,5,Recubrimiento para fácil limpieza en tenis de tela tipo teflón. ,Si,,,,,,
4/8/2026 7:53:00,19,Masculino,"Menos de $5,000",Cada 6 meses,"Deporte, Uso diario","Precio, Comodidad, Marca, Diseño","$1,500-$3,000",4,5,4,4,Diseño ,Si,,,,,,
4/8/2026 10:37:55,23,Masculino,"Menos de $5,000",Rara vez,Uso diario,"Precio, Comodidad, Marca, Diseño","$800-$1,500",5,4,5,3,El color,Si,,,,,,
4/8/2026 10:40:18,42,Femenino,"Más de $10,000",Cada 6 meses,"Uso diario, Trabajo",Comodidad,"$1,500-$3,000",5,3,4,4,Todavía más comodidad ,Si,,,,,,
4/8/2026 10:40:20,23 años ,Femenino,"Más de $10,000",Cada 6 meses,"Deporte, Uso diario","Comodidad, Diseño","$800-$1,500",5,5,5,5,Que sean mas resistentes ,Si,,,,,,
4/8/2026 10:41:14,21,Masculino,"$5,000-$10,000",Cada 3 meses,Uso diario,Comodidad,"$1,500-$3,000",4,3,3,3,la suela y las plantillas,Si,,,,,,
4/8/2026 10:41:49,22,Masculino,"$5,000-$10,000",Rara vez,Uso diario,"Comodidad, Marca","$1,500-$3,000",5,5,5,5,Nada,Si,,,,,,
4/8/2026 10:43:48,21,Masculino,"Menos de $5,000",Cada 6 meses,Deporte,"Precio, Comodidad","$1,500-$3,000",5,5,5,4,Durabilidad de suelas en exteriores ,Si,,,,,,
4/8/2026 10:44:14,22,Femenino,"$5,000-$10,000",Cada 3 meses,"Uso diario, Moda","Comodidad, Diseño","$1,500-$3,000",5,5,5,5,Evitar las agujetas. ,Si,,,,,,
4/8/2026 10:45:31,21,Masculino,"$5,000-$10,000",Rara vez,Uso diario,Comodidad,"$1,500-$3,000",5,4,5,4,Mas comodidad para el talón ,Si,,,,,,
4/8/2026 10:45:40,36,Masculino,"Más de $10,000",Rara vez,Deporte,Comodidad,"$1,500-$3,000",4,5,3,3,El precio. Suelen ser muy caros,Si,,,,,,
4/8/2026 10:46:59,21,Femenino,"Menos de $5,000",Una vez al año,Uso diario,Diseño,"$800-$1,500",5,5,5,5,Nada me gusta el producto ,Si,,,,,,
4/8/2026 10:47:12,33,Femenino,"$5,000-$10,000",Una vez al año,Uso diario,"Comodidad, Marca","$800-$1,500",5,4,4,3,Precios,Si,,,,,,
4/8/2026 10:47:30,30,Masculino,"Más de $10,000",Rara vez,Uso diario,Comodidad,"$800-$1,500",5,4,5,4,Mejor diseño,Si,,,,,,
4/8/2026 10:47:34,44 años ,Masculino,"Más de $10,000",Cada 6 meses,Uso diario,Comodidad,"$800-$1,500",3,4,4,3,Durabilidad ,Si,,,,,,
4/8/2026 10:48:07,18,Femenino,"Menos de $5,000",Rara vez,Uso diario,"Precio, Comodidad, Diseño","$800-$1,500",4,1,4,3,Le precio y el diseño ,Si,,,,,,
4/8/2026 10:49:21,16,Femenino,"Menos de $5,000",Cada 3 meses,"Uso diario, Moda",Comodidad,"$1,500-$3,000",4,4,3,3,El material por el que está hecho ,Si,,,,,,
4/8/2026 10:49:41,24,Femenino,"Menos de $5,000",Rara vez,Uso diario,Comodidad,"$800-$1,500",5,5,4,3,Que sean más económicos para la sociedad en general ,Si,,,,,,
4/8/2026 10:51:15,43,Femenino,"Menos de $5,000",Una vez al año,Trabajo,Comodidad,"$800-$1,500",3,4,3,5,Comidad,Si,,,,,,
4/8/2026 10:53:50,40,Femenino,"Menos de $5,000",Una vez al año,Uso diario,Comodidad,"$800-$1,500",5,4,4,4,El diseño ,Si,,,,,,
4/8/2026 10:54:11,20,Femenino,"$5,000-$10,000",Cada 6 meses,"Deporte, Uso diario","Precio, Comodidad","$800-$1,500",5,5,5,5,El precio,Si,,,,,,
4/8/2026 10:54:44,43,Femenino,"Menos de $5,000",Una vez al año,Trabajo,Comodidad,"$800-$1,500",4,4,4,4,Comodidad ,Si,,,,,,
4/8/2026 10:54:48,31,Masculino,"$5,000-$10,000",Una vez al año,Deporte,Comodidad,"$800-$1,500",5,5,5,5,Nada,Si,,,,,,
4/8/2026 10:55:56,20,Masculino,"$5,000-$10,000",Cada 3 meses,"Deporte, Uso diario","Precio, Comodidad, Marca, Diseño","Más de $3,000",5,3,5,4,El agarre de la plantilla al calcetín para que no se mueva tanto ,Si,,,,,,
4/8/2026 10:56:25,17,Masculino,"Menos de $5,000",Rara vez,"Deporte, Trabajo","Comodidad, Diseño","$1,500-$3,000",4,3,4,4,Que fueran más resistentes ,Si,,,,,,
4/8/2026 10:56:27,20,Femenino,"$5,000-$10,000",Rara vez,"Deporte, Uso diario","Precio, Comodidad","$800-$1,500",5,5,5,5,El color,Si,,,,,,
4/8/2026 10:57:12,20,Femenino,"Menos de $5,000",Cada 6 meses,"Deporte, Uso diario, Moda","Precio, Comodidad, Diseño","$800-$1,500",4,4,5,4,Diseños mas nuevos de diferentes colores ,Si,,,,,,
4/8/2026 10:59:40,36,Femenino,"Menos de $5,000",Cada 6 meses,"Deporte, Uso diario",Comodidad,"$800-$1,500",5,4,3,4,Nada,Si,,,,,,
4/8/2026 11:03:52,20,Femenino,"Menos de $5,000",Una vez al año,"Uso diario, Moda","Comodidad, Diseño","$1,500-$3,000",2,2,3,3,"Yo mejoraría el respetar la anatomía propia del pie, evitando diseño puntiagudo en el extremo de los dedos ",Si,,,,,,
4/8/2026 11:06:51,18,Masculino,"Más de $10,000",Cada 3 meses,Uso diario,"Comodidad, Diseño","Más de $3,000",5,5,5,5,Nada,Si,,,,,,
4/8/2026 11:09:28,28,Masculino,"Más de $10,000",Rara vez,Uso diario,"Comodidad, Diseño","$1,500-$3,000",5,5,5,4,El diseño ,Si,,,,,,
4/8/2026 11:10:12,33,Femenino,"$5,000-$10,000",Rara vez,Moda,Comodidad,Menos de $800,5,5,5,5,El precio ,Si,,,,,,
4/8/2026 11:19:35,23,Femenino,"Más de $10,000",Cada 6 meses,"Uso diario, Moda","Precio, Marca, Diseño","$1,500-$3,000",5,5,5,4,El diseño ,Si,,,,,,
4/8/2026 11:53:06,25,Masculino,"Menos de $5,000",Una vez al año,"Deporte, Uso diario","Comodidad, Diseño","$800-$1,500",5,5,5,4,Mayor variedad de colores bases ,Si,,,,,,
4/8/2026 12:13:08,26,Femenino,"$5,000-$10,000",Una vez al año,"Deporte, Trabajo",Comodidad,Menos de $800,5,4,4,4,Que sea menos atractivo ,Si,,,,,,
4/8/2026 12:20:12,45,Femenino,"$5,000-$10,000",Rara vez,Uso diario,Comodidad,"$800-$1,500",4,4,4,4,Colores ,Si,,,,,,
4/8/2026 12:25:15,19,Masculino,"Menos de $5,000",Rara vez,Deporte,Comodidad,"$800-$1,500",4,4,5,4,Durabilidad ,Si,,,,,,
4/8/2026 13:13:01,30,Femenino,"$5,000-$10,000",Una vez al año,Uso diario,Comodidad,"$800-$1,500",5,4,4,4,Precio ,,,,,,,
4/8/2026 13:25:40,23,Masculino,"Más de $10,000",Una vez al año,"Deporte, Uso diario","Precio, Comodidad","$800-$1,500",5,5,3,5,Suelas antiderrapates,Si,,,,,,
4/8/2026 13:45:17,20,Femenino,"Menos de $5,000",Una vez al año,"Uso diario, Moda","Precio, Comodidad, Diseño","$1,500-$3,000",5,5,5,5,Mejores diseños en los tenis ,Si,,,,,,
4/8/2026 13:46:28,32,Femenino,"Más de $10,000",Una vez al año,Deporte,"Precio, Comodidad, Diseño","$800-$1,500",5,5,5,5,Diseños y precio,Si,,,,,,
4/8/2026 13:51:27,20,Masculino,"$5,000-$10,000",Rara vez,"Uso diario, Moda",Diseño,"$800-$1,500",3,3,5,3,diseño,Si,,,,,,
4/8/2026 13:52:30,28,Femenino,"Más de $10,000",Cada 6 meses,"Deporte, Uso diario","Comodidad, Diseño","$1,500-$3,000",5,5,5,4,Precio,Si,,,,,,
4/8/2026 13:58:43,38 años ,Femenino,"$5,000-$10,000",Cada 6 meses,Uso diario,Comodidad,"$800-$1,500",4,4,4,4,Que estén cómodos ,Si,,,,,,
4/8/2026 14:00:58,38 años ,Femenino,"$5,000-$10,000",Cada 6 meses,Uso diario,Comodidad,"$800-$1,500",4,4,4,4,Que estén cómodos ,Si,,,,,,
4/8/2026 14:18:27,28,Femenino,"Más de $10,000",Cada 6 meses,"Uso diario, Moda","Comodidad, Marca, Diseño","$1,500-$3,000",5,4,4,4,El precio,Si,,,,,,
4/8/2026 14:23:39,20,Masculino,"Menos de $5,000",Cada 6 meses,"Uso diario, Moda","Comodidad, Diseño","$1,500-$3,000",5,3,4,4,Su comodidad ,Si,,,,,,
4/8/2026 14:24:25,36,Femenino,"$5,000-$10,000",Rara vez,Uso diario,"Precio, Comodidad","$800-$1,500",5,5,3,5,Comodidad ,No,,,,,,
4/8/2026 14:50:38,35,Femenino,"$5,000-$10,000",Rara vez,"Uso diario, Moda","Comodidad, Diseño",Menos de $800,5,3,4,4,Las agujetas ,Si,,,,,,
4/8/2026 15:07:16,22,Femenino,"Menos de $5,000",Cada 6 meses,"Deporte, Uso diario",Comodidad,"$800-$1,500",5,5,5,5,el peso ,Si,,,,,,
4/8/2026 15:08:51,22,Femenino,"Menos de $5,000",Cada 6 meses,Deporte,"Comodidad, Marca","$1,500-$3,000",5,5,5,5,suela ,Si,,,,,,
4/8/2026 15:48:39,24,Masculino,"Menos de $5,000",Cada 6 meses,Uso diario,"Precio, Diseño","$800-$1,500",2,3,3,3,Que sea mas pequeño ,Si,,,,,,
4/8/2026 15:55:17,23,Femenino,"$5,000-$10,000",Rara vez,Uso diario,Comodidad,"$800-$1,500",4,3,4,4,Su durabilidad ,Si,,,,,,
4/8/2026 15:57:12,56 años,Femenino,"Más de $10,000",Cada 6 meses,Uso diario,Comodidad,"$800-$1,500",5,5,5,5,los colores y los precios ,Si,,,,,,
4/8/2026 16:05:56,21,Femenino,"Menos de $5,000",Una vez al año,"Uso diario, Trabajo",Comodidad,Menos de $800,4,4,3,4,El diseño ,Si,,,,,,
4/8/2026 16:31:36,20,Femenino,"$5,000-$10,000",Cada 3 meses,"Uso diario, Moda","Precio, Comodidad, Marca, Diseño","$800-$1,500",4,4,5,3,Precio,Si,,,,,,
4/8/2026 17:46:53,21,Femenino,"$5,000-$10,000",Cada 3 meses,Uso diario,"Precio, Comodidad, Marca, Diseño","$1,500-$3,000",5,5,4,4,Su diseño ,Si,,,,,,
